user,role,day,far,eds,iav,oaf,login_entropy,file_count,email_count,file_copy_count,usb_events,to_removable_count,confidential_file_count,after_hours_event_count,date,day_of_week,lstm_score,date_str,biometric_z_score,risk_score,explanation,mitre_tactic,should_alert,alert_severity
U100,Employee,2024-01-01,1.9111961806624636,0.0,7743588.699395815,0.0,1.8184831630123652,5,0,0,0,0,0,0,2024-01-01,0,0.0,2024-01-01,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-02,2.0539410649785665,0.0,944972.362519561,0.28,2.09973347440366,5,0,0,0,0,0,7,2024-01-02,1,0.0,2024-01-02,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-03,0.0,0.0,2806981.86618948,0.1875,1.8734517375545654,0,0,0,0,0,0,3,2024-01-03,2,0.0,2024-01-03,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-04,2.0370362071333967,0.0,4098753.1854589656,0.0,1.8989267893363289,5,0,0,0,0,0,0,2024-01-04,3,0.0,2024-01-04,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-05,0.0,0.0,5172366.677148044,0.0,1.9730014063936128,0,0,0,0,0,0,0,2024-01-05,4,0.0,2024-01-05,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-08,0.8284515396790694,0.0,1939410.3483838267,0.2,1.8640435797520256,2,0,0,0,0,0,3,2024-01-08,0,0.0,2024-01-08,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-09,1.2801718675128668,0.0,5323079.535288768,0.08333333333333333,2.0228085294147036,3,0,0,0,0,0,1,2024-01-09,1,0.0,2024-01-09,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-10,0.0,0.0,4074557.1589966984,0.0,1.9867316488081912,0,0,0,0,0,0,0,2024-01-10,2,0.0,2024-01-10,0.0909015310859236,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-11,0.0,0.0,3162621.8628139524,0.25,1.9356005054539454,0,0,0,0,0,0,3,2024-01-11,3,0.0,2024-01-11,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-12,0.733333064444543,0.0,8748347.47913584,0.09090909090909091,1.9722469794234416,2,0,0,0,0,0,1,2024-01-12,4,0.4764426648616791,2024-01-12,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-13,1.540855437569306,0.0,4160010.096689457,0.21428571428571427,1.9701814400260844,4,0,0,0,0,0,3,2024-01-13,5,0.49175623059272766,2024-01-13,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-15,0.38823514339106197,0.0,4695753.552902841,0.0,1.8462202193216335,1,0,0,0,0,0,0,2024-01-15,0,0.40001463890075684,2024-01-15,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-16,0.3867186004486662,0.0,2808558.9821353066,0.058823529411764705,2.11928092190985,1,0,0,0,0,0,1,2024-01-16,1,0.34112781286239624,2024-01-16,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-17,0.7951804067355009,0.0,2821785.0347642843,0.0,1.893788232391138,2,0,0,0,0,0,0,2024-01-17,2,0.2776133120059967,2024-01-17,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-18,1.685105673083142,0.0,7083388.897677356,0.0,1.7489707507713135,4,0,0,0,0,0,0,2024-01-18,3,0.29049432277679443,2024-01-18,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-19,1.1879995295521864,0.0,4424566.321798413,0.0,1.8065071652616695,3,0,0,0,0,0,0,2024-01-19,4,0.28398600220680237,2024-01-19,0.0,0.0,Low risk - normal activity pattern.,,False,
U100,Employee,2024-01-22,1.2172126208850431,0.0,1149698.8030526664,0.04,2.055104764140818,3,0,0,0,0,0,1,2024-01-22,0,0.29816943407058716,2024-01-22,0.0,0.0,Low risk - normal activity pattern.,,False,
